page,above,abovestyle,subheader,image,caption,label1,data1,label2,data2,label3,data3,label4,data4,label5,data5,label6,label7,data7,label8,data8,label9,data9,label10,label11,label12,data12,label13,data13,label14,label15,label16,label17,label18,label19,label20,label21,label22,label23,label24,label25,data25,label26,label27,label28,label29,label30,label31,label32,label33,label34,data34,data35,building_name,former_names,building_type,location,start_date,completion_date,floor_count,tên,tên khác,hình,chú thích hình,vị trí,thành phố,quốc gia,tọa độ,mapframe-zoom,funding,loại,giường,thành lập,điện thoại,website,name,img,founded,address,tên tự,country,vĩ độ,vĩ phút,vĩ giây,vĩ hướng,kinh độ,kinh phút,kinh giây,kinh hướng,núi,địa chỉ,tôn giáo,tông phái,tôn kính,người sáng lập,trụ trì,web,Tông chỉ tu hành,Phương pháp tu hành,ghi chú hình,khởi lập,di tích,img_size,denomination,img_capt,founder,director,abbot,closed,loại di tích đặc biệt,ngày nhận đặc biệt,quyết định đặc biệt,loại di tích quốc gia,loại di tích quốc gia 2,ngày nhận quốc gia,quyết định quốc gia,teacher,quản lý,loại di tích,cấp di tích,quyết định,ngày nhận,ngày nhận 2,thờ phụng,mountain,tên di tích,tên di tích 2,loại di tích 2_1,cấp di tích 2,quyết định 2,latm,lats,latNS,longm,longs,longEW,tên gốc,other_name,map,relief,map_caption,lat_d,lat_m,lat_s,lat_NS,long_d,long_m,long_s,long_EW,discovery,Thủ Ngang,reverend,loại bản đồ,native_building_name,latd,longd,architect,kiến trúc sư,tên di tích đặc biệt,trường phái,creator,proper_name,date_built,primary_deity,loại di tích 2,email,hướng vĩ độ,hướng kinh độ,loại di tích tỉnh,ngày nhận tỉnh,quyết định tỉnh,native_name,religious_affiliation,locale,geo,province,region,consecration_year,status,infobox_width,specifications,architecture,coordinates,1,2,3,cỡ hình,đóng cửa,image_size,floor_area,architectural_style,renovation_date,construction_start_date,main_contractor,opened,location_country,location_city,client,height,size,ren_cost,classification,bridge_name,Quốc gia,Khởi công,Vật liệu,heritage,built,builder,used,phong cách,toạ độ,khởi công,hoàn thành,native_name_lang,image_alt,location_town,chú thích,tiền tố,tên thánh,xây dựng,diện tích,lễ hội,ngày nhận danh hiệu di tích quốc gia,quyết định danh hiệu di tích quốc gia,pushpin_map,trùng tu,diện tích xây dựng,alternate_names,civil_engineer,type,style,image_caption,levels,line,materials,controlledby,garrison,current_commander,occupants,battles,events,map_alt,entrance_count,địa điểm,kiểu,hạng mục,ID,vùng UNESCO,năm,kì thứ,WHS,image_upright,criteria,year,area,buffer_zone,locmapin,tước vị,tên thần,sinh,mất,tước vị 2,tên thần 2,sinh 2,mất 2,đối tượng thờ,tiêu chuẩn,hồ sơ tham khảo,một phần của,lake_name,image_lake,coords,inflow,outflow,basin_countries,length,elevation,deity,festival,architecture_style,year_completed,site_area,map_size,rite,heritage_designation,facade_direction,dân số,thời điểm dân số,mật độ dân số,tỉnh,vùng,huyện,trụ sở UBND,mã hành chính,event,data32,data33,headerstyle,header1,data6,data10,data11,data14,data15,data16,data17,data18,data19,data120,data21,data22,data23,data24,data26,cỡ bản đồ,chú thích bản đồ,tên cũ,loại hình,khánh thành,kích thước,[[chiều cao]],đường kính,kích thước khác,diện tích sàn,chủ đầu tư,hệ thống kết cấu,kỹ sư trùng tu,ngày nhận danh hiệu di tích tỉnh,xây mới,tên di tích quốc gia,một phần của di tích (quốc gia),tôn tạo,danh sách,tình trạng,được thờ vì,tên di tích tỉnh,loại di tích tỉnh 2,quyết định danh hiệu di tích tỉnh,ghi chú,governing_body,chi phí xây dựng,chi phí trùng tu,chiều cao,kiến trúc sư trùng tu,city,capacity,reopened,seating_type,dạng,cao,tiếng,chức năng,tỉnh/Thành phố,Quận/Huyện,Địa chỉ,chất liệu,border,float,width,lat,lat_deg,lat_min,lat_sec,lat_dir,long,lon_deg,lon_min,lon_sec,lon_dir,data30,Tên,Vị trí,Ảnh,Tiêu đề,Độ cao,thánh tích,other_dimensions,extension,Image,State Party,Type,Criteria,Region,Year,Session,Link,tên hình,tổng số đảo,đảo lớn,độ cao,khu vực hành chính quốc gia,dân số của thành phố lớn nhất 6,dân số tính đến năm,nativename,image-width,elevation-f,elevation-m,r1-number,r1-length-f,r1-length-m,r1-surface,city-served,land,stat-year,includes,architecture_type,map_type,footnotes,thờ,nguồn,loại di tích 3,loại di tích 2_2,coordinates_region,coordinates_display,sử dụng,sở hữu,phá dỡ,phá hủy,nhà thầu chính,title_orig,author,language,genre,media_type,logo,khẩu hiệu,ngày thành lập,hiệu trưởng,hiệu phó,phó hiệu trưởng,giáo viên,học sinh,khuôn viên,khu vực,mã tỉnh/thành phố,mã quận/huyện,mã trường,grades,nhân viên,Fax,bài hát,Tỉ lệ được nhận (THPT),nhà thiết kế khác,leadership,title,aboveclass,imagestyle,rowclass1,labelstyle,rowclass2,rowclass3,rowclass4,rowclass5,rowclass6,class6,rowclass8,rowclass10,rowclass14,rowclass16,rowclass18,rowclass22,class22,rowclass24,class24,class26,data27,data28,alternate_name,part_of,material,epochs,ngày nhận danh hiệu di tích đặc biệt,quyết định danh hiệu di tích đặc biệt,tiền tố 2,tên thánh 2,quá trình xây dựng,tên di tích UNESCO,ngày nhận danh hiệu UNESCO,loại di tích UNESCO,tiêu chuẩn UNESCO,một phần của di tích (UNESCO),hồ sơ UNESCO,photo,công trạng,thánh tích 2,tên thần 3,tước vị 4,tên thần 4,tên thần 5,tên thần 6,công trạng 2,công trạng 3,tên thánh 3,tiền tố 3,thị xã,một phần của di tích (đặc biệt),loại di tích đặc biệt 2,phối thờ,chưởng quản 1,bản đồ 2,tên bản đồ 2,công trạng 1,khai hội,tựa bản đồ,nhãn bản đồ,loại đền,alt_name,photo_width,depth,survey,geology,number of entrances,list of entrances,hazards
Nhà tù Côn Đảo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà tù Hỏa Lò,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà tù Lao Bảo,Nhà tù Lao Bảo <br> Nhà đày Lao Bảo,background: lightgray;,,,,Kiểu,Nhà tù,Quốc gia,{{VIE}},Vị trí,"Đường Lê Thế Tiết, khóm Duy Tân, thị trấn [[Lao Bảo]], huyện [[Hướng Hóa]], tỉnh [[Quảng Trị]]",Thành phố gần nhất,Thành phố [[Đông Hà]],Tọa độ,"{{coord|16|36|42.3|N|106|35|15.2|E|name=Nhà tù Lao Bảo|display=inline,title|type:isle}}",[[British national grid reference system|OS grid reference]],Diện tích,"0,1&nbsp;km²",Hình thành,,Thành lập,,Người thành lập,Xây dựng,Xây dựng bởi,,Xây dựng cho,,Mục đích ban đầu,Phá huỷ,Xây dựng lại,,,,,,,Phục hồi lại,Phục hồi bởi,Mục đích hiện tại,[[Du lịch]],Kiến trúc sư,Nhà điêu khắc,Phong cách kiến trúc,Lượng tham quan,Cơ quan quản lý,Chủ sở hữu,Năm sự kiện,Sự kiện quan trọng,Website,"<!-- Leave space for possible future expansion -->
<!-- designation1 section -->","{{#if:{{{designation1<includeonly>|</includeonly>}}}{{{designation1_offname|}}}{{{designation1_type|}}}{{{designation1_criteria|}}}{{{designation1_date|}}}{{{delisted1_date|}}}{{{designation1_partof|}}}{{{designation1_number|}}}{{{designation1_free1value|}}}{{{designation2_free1value|}}}{{{designation1_free3value|}}}
|{{Infobox
| child = yes
| header1 = [[Di tích cấp quốc gia]]
| data2 = Nhà tù Lao Bảo
| label3 = Loại
| data3 = Di tích lịch sử văn hóa
| label4 = Ngày nhận danh hiệu
| data4 = {{startdate|1991|1|25}}
| label5 = Quyết định
| data5 = 
}}}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{{map_relief|}}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Thực dân Pháp]],{{startdate|1908}},"""Quốc Sự Phạm"" [[Miền Trung (Việt Nam)|miền Trung]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infobox,center,{{{map_width|235}}},{{{latitude|}}},{{{lat_degrees|}}},{{{lat_minutes|}}},{{{lat_seconds|}}},{{{lat_direction|}}},{{{longitude|}}},{{{long_degrees|}}},{{{long_minutes|}}},{{{long_seconds|}}},{{{long_direction|}}},"[[Bộ Văn hóa, Thể thao và Du lịch (Việt Nam)|Bộ Văn hóa, Thể thao và Du lịch]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà tù Phú Lợi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà tù Phú Quốc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà tù Sơn La,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà đày Buôn Ma Thuột,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niết Bàn Tịnh Xá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Núi Bà Rá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bà Rá,"[[Phước Long]], [[Bình Phước]], [[Việt Nam]]",[[Tập tin:Một góc nhìn đẹp về núi Bà Rá.jpg|300px]],Một góc nhìn đẹp về núi Bà Rá,736m so với mực nước biển,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Núi Bân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Núi Khắc Thiệu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Núi Mo So,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Núi Non Nước,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Núi Sam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Núi Thiên Thai (Bắc Ninh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Núi Trường Lệ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Núi Đá Dựng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nền Chùa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
